"PMID","Title","Abstract","Authors","Journal","PubDate","MeSH_Terms"
"39360455","Lower serum LH level was related to poor embryo quality and adverse pregnancy outcomes in fixed GnRH antagonist protocol with estradiol pretreatment.","To disclose the relationships between serum LH and reproductive outcomes in Gonadotropin-releasing hormone (GnRH) antagonist protocol pretreated with luteal estradiol. 371 patients, pretreated with estradiol, followed the GnRH antagonist protocol. They were divided into four groups based on the quartiles of serum LH levels on the day of gonadotropin (Gn) initiation(LHGI) and trigger (LHtrigger). Data on various pregnancy outcomes were collected. As serum LHGI increased, anti-Müllerian hormone (AMH) level, antral follicle count (AFC), LHtrigger, estradiol (E2) and P on the trigger day, E2/oocytes, and oocyte numbers increased and peaked in Q4, while Gn dose decreased. Good-quality embryo and blast formation rates increased and peaked in Q3. LHGI <3.93 mIU/ml impaired ongoing pregnancy rate and LBR. After adjusting for AMH and AFC, the impacts were not significant. As LHtrigger increased, E2/oocytes and good-quality embryo rate increased and peaked in T4 and implantation rate increased and peaked in T3. LHtrigger <1.49 mIU/ml independently influenced clinical pregnancy rate (CPR) after adjusting for AMH and AFC. LHGI was positively related to AMH, AFC, LHtrigger, blast formation rate and negatively related to BMI, age and Gn dose. LHtrigger was positively related to E2/oocytes and good quality embryo rate. Lower serum LH represents as a potential indicator for embryo quality and reproductive outcomes in GnRH antagonist fixed protocol pretreated with estradiol. Early identification of excessive suppression of LH levels will benefit individuals with normal ovarian reserve more.","Ying Chen, Yizhe Li, Xu Li, Linhong Liu, Zhen Liu, Wenwu Gui, Xiru Liu, Ying Chen","Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology","2024Dec","Humans; Female; Pregnancy; Estradiol; Gonadotropin-Releasing Hormone; Adult; Luteinizing Hormone; Ovulation Induction; Pregnancy Outcome; Pregnancy Rate; Hormone Antagonists; Retrospective Studies; Fertilization in Vitro; Anti-Mullerian Hormone"
"39360447","Investigation of 5-fluorouracil cardiotoxicity in combinational therapy: Influence of risk factors and demographics in a Pakistani population.","5-Fluorouracil (5-FU) is a chemotherapeutic agent used to treat various types of cancers. Although widely used, it has consistently been attributed to cardiotoxicities after administration. The purpose of this study was to assess the parameters and predictors of cardiotoxicities associated with various 5-FU-based chemotherapeutic protocols in patients with GI/colorectal cancer, as well as the correlation of these cardiotoxic events with age, sex, cumulative dose, and risk factors such as obesity, hypertension, and family history of cardiac diseases. A prospective study consisting of 396 patients of both sexes was conducted in the oncology ward of Nishtar Hospital in Multan, Pakistan. Patients were grouped according to the therapeutic protocol they received (5-FU monotherapy or in combination, with different dosing regimens). Electrocardiography and serum troponin levels were used to assess 5-FU-induced cardiotoxicity. In cases where cardiotoxicity was detected, 5-FU treatment was interrupted; nitroglycerin, nitrates, and calcium channel blockers were administered; and cardiac monitoring was initiated. 5-FU was discontinued in all cases of acute myocardial infarction. Of the 396 patients, 28.5% reported different cardiotoxic symptoms after receiving various 5-FU-containing protocols. 35% had anginal pain, 13% suffered a myocardial infarction, 11% developed hypertension, and 10% presented heart failure. Patients receiving 5-FU combination therapy showed cardiotoxic events that were significantly different from those on 5-FU monotherapy. Based on the ECG results, only the QTc-d interval increased significantly (p < 0.001) after therapy. 68% of the patients had troponin levels > 2 ng/mL at the end of treatment. Pre-existing cardiac diseases, treatment duration, smoking, and obesity were found to be influential components in the development of cardiotoxicity, and patients with cancer should be closely monitored during 5-FU chemotherapy.","Hina Raza, Mariyam Javaid, Wajiha Rehman, Sana Rafiq, Zermina Rashid, Rahat Shamim, Abdolelah Jaradat, Mohamed Deifallah Yousif","Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners","2024Oct03",NA
"39360438","Association of metabolic score for visceral fat with all-cause mortality, cardiovascular mortality, and cancer mortality: A prospective cohort study.","Our study aimed to evaluate the association between the metabolic score for visceral fat (METS-VF) and mortality. We conducted a cohort study comprising 11,120 participants. We employed weighted multivariable Cox regression analysis to assess the relationship between METS-VF and mortality. Restricted cubic spline analyses were used to investigate potential non-linear associations. Receiver operating characteristic curves were used to evaluate the predictive value of METS-VF and other obesity-related indicators for mortality. Subgroup analysis and sensitivity analysis were performed to confirm the robustness of the results. Mendelian randomization analysis was utilized to assess potential causality. Over a median follow-up duration of 83 months, a total of 1014 all-cause deaths, 301 cardiovascular deaths, and 262 cancer deaths occurred. For every 0.2-unit increase in METS-VF, the hazard ratios(HRs) of all-cause mortality, cardiovascular mortality, and cancer mortality were 1.13 [95% confidence interval (CI): 1.06, 1.20], 1.18 (95% CI: 1.06, 1.31), and 1.13 (95% CI: 1.03, 1.25), respectively. In addition, restricted cubic spline analyses revealed no significant non-linear associations between METS-VF and all-cause mortality, cardiovascular mortality, and cancer mortality. In multivariate Cox regression models, hazard ratios of all-cause mortality, cardiovascular mortality and cancer mortality were higher in the highest METS-VF group compared to the reference group. Subgroup and sensitivity analyses confirmed that our results were robust. Receiver operating characteristic curves indicated that METS-VF predicted mortality better than other obesity-related indicators. Mendelian randomization analysis confirmed significant causal relationships. METS-VF was positively associated with all-cause mortality, cardiovascular mortality, and cancer mortality. These findings suggest that METS-VF could serve as a straightforward, reliable, and cost-effective marker for identifying individuals at high risk of mortality.","Shanshan Jia, Xingwei Huo, Xianghao Zuo, Liming Zhao, Lu Liu, Lirong Sun, Xiaoping Chen","Diabetes, obesity & metabolism","2024Oct03",NA
"39360426","Sociodemographic and Clinical Predictors of Weight Gain During the First Year of Antiretroviral Therapy among Adults Living With HIV in Urban Tanzania.","Antiretroviral therapy (ART) has improved the survival of people living with HIV (PLHIV) but this success has been accompanied by an increase in noncommunicable diseases. We conducted a prospective cohort study of 4000 adult PLHIV who were initiating ART in Dar es Salaam, Tanzania, to assess weight gain during the first year of treatment and associated sociodemographic and clinical factors. Anthropometric data were collected at ART initiation and monthly follow-up visits. The mean weight gain during the first year of treatment was 2.6 ± 0.3 kg, and the prevalence of overweight or obesity increased from 26.3% at baseline to 40.7%. Female sex, greater household wealth, lower CD4-T-cell counts, higher WHO HIV disease stage, and pulmonary tuberculosis were associated with a greater increase in body mass index (P < .05). Weight gain following ART initiation was common but was greater among females and PLHIV with advanced HIV or comorbidities.","Pilly Chillo, Alfa Muhihi, Goodarz Danaei, Muhammad Bakari, Gideon Kwesigabo, Marina Njelekela, Nzovu Ulenga, Wafaie W Fawzi, Ferdinand Mugusi, Christopher R Sudfeld","Journal of the International Association of Providers of AIDS Care","2024Jan-Dec","Humans; Female; Tanzania; Male; HIV Infections; Adult; Weight Gain; Prospective Studies; Middle Aged; Anti-HIV Agents; Body Mass Index; Young Adult; CD4 Lymphocyte Count; Obesity; Urban Population; Anti-Retroviral Agents; Overweight"
"39360277","Bidirectional association between perioperative skeletal muscle and subcutaneous fat in colorectal cancer patients and their prognostic significance.","Low skeletal muscle mass and high adipose tissue coexist across the body weight spectrum and independently predict the survival ratio of colorectal cancer (CRC) patients. This combination may lead to a mutually exacerbating vicious cycle. Tumor-associated metabolic conditions primarily affect subcutaneous adipose tissue, but the nature and direction of its relationship with skeletal muscle are unclear. This study aims to examine the bidirectional causal relationship between skeletal muscle index (SMI) and subcutaneous fat index (SFI) during the perioperative period in CRC patients; as well as to validate the association between perioperative SMI, SFI, and CRC prognosis. This population-based retrospective cohort study included patients with stage I-III colorectal cancer who underwent radical resection at the Third Affiliated Hospital of Kunming Medical University between September 2012 and February 2019. Based on inclusion and exclusion criteria, 1,448 patients were analyzed. Preoperative (P1), 2 months postoperative (P2), and 5 months postoperative (P3) CT scans were collected to evaluate the skeletal muscle index (SMI; muscle area at the third lumbar vertebra divided by height squared) and subcutaneous fat index (SFI; subcutaneous fat area at the third lumbar vertebra divided by height squared). A random intercept cross-lagged panel model (RI-CLPM) was used to examine the intra-individual relationship between SMI and SFI, and Cox regression was employed to assess the association between SMI, SFI, recurrence-free survival (RFS), and overall survival (OS). The median age at diagnosis was 59.00 years (IQR: 51.00-66.00), and 587 patients (40.54%) were female. RI-CLPM analysis revealed a negative correlation between SFI and subsequent SMI at the individual level: P1-P2 (β = -0.372, p = 0.038) and P2-P3 (β = -0.363, p = 0.001). SMI and SFI showed a negative correlation during P1-P2 (β = -0.363, p = 0.001) but a positive correlation during P2-P3 (β = 0.357, p = 0.006). No significant correlation was found between the random intercepts of SFI and SMI at the between-person level (r = 0.157, p = 0.603). The Cox proportional hazards multivariate regression model identified that patients with elevated SFI had poorer recurrence-free survival (HR, 1.24; 95% CI: 1.00-1.55). Compared to patients with normal preoperative SMI and SFI, those with low SMI or high SFI had poorer recurrence-free survival (HR, 1.26; 95% CI: 1.03-1.55) and overall survival (HR, 1.39; 95% CI: 1.04-1.87). However, no significant association between SMI and SFI and the prognosis of colorectal cancer patients was observed postoperatively. In CRC patients, preoperative muscle loss leads to postoperative fat accumulation, exacerbating muscle loss in a feedback loop. Elevated preoperative SFI predicts poorer survival outcomes. Monitoring SMI and SFI is crucial as prognostic indicators, despite non-significant postoperative associations. Further research is needed to improve patient outcomes.","Guanghong Yan, Lizhu Liu, Mengmei Liu, Xinyue Jiang, Ping Chen, Min Li, Qingyan Ma, Yani Li, Sifan Duan, Ruimin You, Yanni Huang, Zhenhui Li, Dingyun You","Frontiers in nutrition","2024",NA
"39360276","The effect of cumulative exposure with unhealthy lifestyles on the H-type hypertension among Chinese adults: a community-based, propensity-score-matched, and case-control study.","To assess whether cumulative exposure of unhealthy lifestyles is associated with HTH in Chinese adults and to explore the combination of unhealthy lifestyles. This study combined a community-based cross-sectional study with a 1:1 matched case-control study using propensity scores among adults in six randomly selected districts from Hunan Province, China. We recruited 5,258 people, of whom 4,012 met the criteria. Lifestyles and personal characteristics were collected by a questionnaire. Lifestyle score was calculated using cigarette smoking, heavy alcohol consumption, inactive exercise, unhealthy diet and abnormal BMI. HTH was defined as having a diagnosis of essential hypertension with Hcy ≥ 15 umol/L. Logistic regression models and multivariate analyses were used to explore the associations. We calculated odds ratios (ORs) and attributable risk proportion (ARP) for the association of HTH with lifestyle score. The dose-response relationship was evaluated using restricted cubic splines method. Of the 4,012 adults, 793 had HTH, with a population prevalence of 19.8%. In the propensity-score-matched case-control study, 1,228 (614 cases and 614 controls) were included, and those with at least four unhealthy lifestyle factors had a higher risk of HTH than those with 0 unhealthy lifestyle factor (adjusted OR = 2.60, 95%CI:1.42-4.78), with an ARP of the cumulative exposure of unhealthy lifestyle was 28.23% (95% CI: 6.34-37.86%). For three unhealthy lifestyles group, the combination of heavy alcohol consumption, unhealthy diet and BMI ≥24 Kg/m2 was most associated with HTH (OR = 7.49, 95%CI: 1.12-50.08). For four unhealthy lifestyles group, the combination of smoking, heavy alcohol consumption, unhealthy diet and BMI ≥24 Kg/m2 had the greatest correlation with HTH (OR = 3.75, 95%CI: 1.24-7.38). Notably, there was a monotonically increasing curve (J-shaped) relationship between unhealthy lifestyles and the risk of HTH (p = 0.014). Our findings suggest that there was a significant cumulative exposure effect of unhealthy lifestyles on the risk of HTH, with the largest effect combination being heavy alcohol consumption, unhealthy diet and BMI ≥24 Kg/m2. Targeted interventions that reducing heavy alcohol consumption, quitting smoking, promoting physical activity and a healthy diet, and keep a normal BMI could substantially reduce the burden of HTH.","Ling Li, Jia Wang, Jing Li, Minqi Li, Tianyao Long, Yangyi Zhengliu, Yuan Lv, Xiuqin Hong","Frontiers in nutrition","2024",NA
"39360272","Plant-based diets-impacts of consumption of little or no animal-source foods on human health.","The world, in 2024, faces both climate and biodiversity crises, and the food system does contribute significantly to these crises. For some, the solution is simple - intakes of animal source foods (ASFs) should be considerably reduced, and consumption of plant-source foods (PSFs) should be greatly increased. Advocates for such a dietary transformation express confidence that plant-based diets will not only benefit planetary health, but will provide nutrient adequacy for all, and will also result in considerable protection from chronic non-communicable diseases (NCDs). However, as described in this perspective, the dramatic reductions in ASFs, entailed by many plant-based diets, will worsen already prevalent micronutrient and protein deficiencies. The protections provided by plant-based diets against NCDs appear to be more strongly associated with reduced intakes of calories and salt, and increased intakes of fruit, vegetables, nuts and whole grains, rather than with reduced intakes of ASFs. Any possible absolute adverse effects of red and processed meat consumption on NCDs are very small and uncertain. Other ASFs either appear to have no impact on NCDs (poultry meat and eggs), or are associated with protections against obesity, cardiovascular events, brain disorders and some cancers (seafood and dairy). Rigorous randomized controlled trials of all newly proposed environmentally-protective plant-based diets are required, so as to provide clear-cut evidence of micronutrient and protein adequacy, with or without, supplementation, fortification and/or biofortification. In the meantime, dietary guidelines should advise moderating excessive consumption, rather than substantially limiting or excluding ASFs from the human diet.","Alice V Stanton","Frontiers in nutrition","2024",NA
"39360256","Cardiometabolic index is associated with increased bone mineral density: a population-based cross-sectional study.","Osteoporosis is a multifactorial bone disease in which lipid metabolism plays an important role. Bone Mineral Density (BMD) measured by Dual-energy X-ray Absorptiometry (DXA) is a critical indicator for diagnosing osteoporosis. The cardiometabolic index (CMI) is a novel metric that combines two quantitative indicators of blood lipids-triglycerides (TG) and high-density lipoprotein cholesterol (HDL-C). This study explores the association between CMI and BMD and seeks to elucidate the role of lipid metabolism in the context of bone health. Based on the data of the National Health and Nutrition Examination Survey (NHANES) 2017-March 2020-pre-pandemic, weighted multiple linear regression and smooth curve fitting were used to study the relationship between CMI and femoral BMD. Stratified analyses were also conducted for age, gender, BMI, ethnicity, diabetes and hypertension status. And, the saturation threshold effect of CMI was further analyzed using a two-stage linear regression model. This study enrolled a total of 1,650 participants (48.7% males), with an average age of 63.0 ± 8.6 years. After adjusting for multiple confounding factors, CMI was positively correlated with total femur BMD, trochanter BMD, and intertrochanter BMD, while the correlation with femur neck BMD was not statistically significant. In the fully adjusted model, each unit increase in CMI was associated with a 0.026 (g/cm2) increase in total femur BMD, a 0.022 (g/cm2) increase in trochanter BMD, and a 0.034 (g/cm2) increase in intertrochanter BMD. Subjects in the highest quartile of CMI had a 0.034 (g/cm2) increase in total femur BMD, a 0.035 (g/cm2) increase in trochanter BMD, and a 0.039 (g/cm2) increase in intertrochanter BMD in the fully-adjusted model compared to those in the lowest quartile. In addition, saturation was observed between CMI and total femur BMD, trochanter BMD and intertrochanter BMD, with saturation thresholds of 1.073, 1.431 and 1.073, respectively. CMI is strongly associated with BMD, indicating its potential relevance in bone metabolism. However, the role of CMI in the context of bone health, especially regarding osteoporosis risk, requires further investigation in large-scale prospective studies.","Xujin Wu, Xixin Jin, Wei Xu, Chang She, Liubing Li, Yongtao Mao","Frontiers in public health","2024","Humans; Bone Density; Female; Male; Middle Aged; Cross-Sectional Studies; Nutrition Surveys; Osteoporosis; Absorptiometry, Photon; Aged; Cholesterol, HDL; Triglycerides; Femur"
"39360230","Beyond conventional wisdom: unexplored risk factors for penile fracture.",NA,"Mehmet Gürkan Arikan, Burak Akgul, Semih Turk, Ömer Onur Tantekin, Basri Çakiroğlu, Ersan Arda","Sexual medicine","2024Oct",NA
"39360170","Risk Factors in Serrated Pathway Lesions: N-Glycosylation Profile as a Potential Biomarker of Progression to Malignancy.","The serrated pathway contributes to interval colorectal cancers, highlighting the need for new biomarkers to assess lesion progression risk. The β1,6-GlcNAc branched N-glycans expression in CRC cells was associated with an invasive phenotype and with immune evasion. Therefore, this study aims to identify potential risk factors for progression of serrated lesions (SLs) to malignancy, analyzing the N-glycosylation profile of epithelial/infiltrating immune cells. A retrospective cohort study was performed with data from 53 colonoscopies (48 patients). Sixty-three serrated pathway lesions (SPLs) were characterized based on N-glycosylation profile (lectin histochemistry/flow cytometry) and MGAT5 expression. Statistical analysis was performed to search for associations between the glycoprofile and clinical variables from each patient. Increased β1,6-GlcNAc branched N-glycans expression in epithelial cells is found associated with age (p = 0.007 in SPL), smoking (p = 0.038 in SL), increased BMI (p = 0.036 in sessile serrated lesions [SSL]), and polyp dimensions ≥10 mm (p = 0.001 in SL), while increased expression of these structures on immune cells is associated with synchronous CA number (CD4+T cells: p = 0.016; CD8+T cells: p = 0.044 in SL) and female gender (p = 0.026 in SL). Moreover, a lower high-mannose N-glycans expression in immune cells is associated with smoking (p = 0.010 in SPL) and synchronous CA presence (p = 0.010 in SPL). Higher expression of these glycans is associated with female (p = 0.016 in SL) and male (p = 0.044 in SL) gender, left colon location (p = 0.028), dysplasia (p = 0.028), and adenocarcinoma (p = 0.010). We identified an association between an abnormal glycoprofile and several clinical risk factors, proposing the N-glycosylation profile as a potential biomarker of tumor progression in the serrated pathway. The N-glycosylation anatomopathological profile analysis could be further used to decide shorter interval follow-up in patients with SPL.","Henrique Fernandes-Mendes, Catarina M Azevedo, Mónica Garrido, Carolina Lemos, Isabel Pedroto, Salomé S Pinho, Ricardo Marcos-Pinto, Ângela Fernandes","GE Portuguese journal of gastroenterology","2024Oct",NA
