Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,BP41ZD1,Alibaba Group Holding Ltd.,BABA,7.75%,Internet & Direct Marketing Retail,CN,ADR,"$6,800,496,759.70","23,132,515"
,BMMV2K8,Tencent Holdings Ltd.,700,5.80%,Interactive Media & Services,CN,---,"$5,088,913,665.38","75,342,882"
,6889106,Taiwan Semiconductor Manufacturing Co. Ltd.,2330,3.67%,Semiconductors,TW,---,"$3,217,594,149.16","213,877,785"
,2113382,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,1.88%,Semiconductors,TW,ADR,"$1,650,948,798.95","20,364,485"
,BGJW376,Meituan Dianping,3690,1.69%,Internet & Direct Marketing Retail,CN,---,"$1,486,154,952.76","47,177,569"
,6099626,Reliance Industries Ltd.,RELIANCE,1.42%,Oil & Gas Refining & Marketing,IN,---,"$1,243,070,316.70","40,987,665"
,6622691,Naspers Ltd.,NPN,1.11%,Internet & Direct Marketing Retail,ZA,---,"$975,010,064.74","5,520,261"
,BMM27D9,JD.com Inc.,JD,1.00%,Internet & Direct Marketing Retail,CN,ADR,"$875,804,170.02","11,284,682"
,B0LMTQ3,China Construction Bank Corp.,939,0.89%,Diversified Banks,CN,---,"$781,495,897.64","1,202,722,103"
,B01FLR7,Ping An Insurance Group Co. of China Ltd.,2318,0.83%,Life & Health Insurance,CN,---,"$731,697,329.19","70,485,313"
,6205122,Infosys Ltd.,INFY,0.74%,IT Consulting & Other Services,IN,---,"$651,770,943.97","47,401,008"
,B1G1QD8,Industrial & Commercial Bank of China Ltd.,1398,0.62%,Diversified Banks,CN,---,"$547,765,423.46","1,051,583,614"
,6171900,Housing Development Finance Corp. Ltd.,HDFC,0.62%,Thrifts & Mortgage Finance,IN,---,"$542,227,302.14","22,876,185"
,B0FXT17,Baidu Inc.,BIDU,0.51%,Interactive Media & Services,CN,ADR,"$451,596,533.05","3,567,395"
,2606440,NetEase Inc.,NTES,0.51%,Interactive Home Entertainment,CN,ADR,"$449,584,970.72","988,816"
,6073556,China Mobile Ltd.,941,0.51%,Wireless Telecommunication Services,CN,---,"$445,299,749.11","69,369,049"
,BG0ZMJ9,Xiaomi Corp.,1810,0.50%,"Technology Hardware, Storage & Periphera",CN,---,"$435,855,219.01","161,008,920"
,6438564,Hon Hai Precision Industry Co. Ltd.,2317,0.48%,Electronic Manufacturing Services,TW,---,"$418,845,257.04","155,790,761"
,B01NPJ1,Tata Consultancy Services Ltd.,TCS,0.47%,IT Consulting & Other Services,IN,---,"$413,590,113.72","12,224,664"
,6372480,MediaTek Inc.,2454,0.47%,Semiconductors,TW,---,"$412,816,894.72","19,482,630"
,4767981,Sberbank of Russia PJSC,SBER,0.45%,Diversified Banks,RU,---,"$393,853,839.26","134,636,752"
,B4MGD82,TAL Education Group,TAL,0.44%,Education Services,CN,ADR,"$389,416,808.40","5,121,210"
,2196286,Vale SA,VALE3,0.43%,Steel,BR,---,"$374,705,256.81","35,599,852"
,6261674,Hindustan Unilever Ltd.,HINDUNILVR,0.37%,Household Products,IN,---,"$328,665,529.44","11,695,152"
,B154564,Bank of China Ltd.,3988,0.36%,Diversified Banks,CN,---,"$319,159,135.02","1,026,167,735"
,BJTM270,Saudi Arabian Oil Co.,2222,0.36%,Integrated Oil & Gas,SA,---,"$317,296,822.16","33,131,374"
,BZ3C3R5,Wuxi Biologics Cayman Inc.,2269,0.35%,Life Sciences Tools & Services,CN,---,"$308,471,346.54","12,586,522"
,B59L4L7,Gazprom PJSC,GAZP,0.34%,Integrated Oil & Gas,RU,---,"$300,365,951.89","137,200,659"
,6148197,Qatar National Bank QPSC,QNBK,0.33%,Diversified Banks,QA,---,"$289,459,997.21","57,817,651"
,B59SNS8,LUKOIL PJSC,LKOH,0.33%,Integrated Oil & Gas,RU,---,"$288,684,956.39","5,024,695"
,B12LZH9,Al Rajhi Bank,1120,0.32%,Diversified Banks,SA,---,"$278,007,342.17","15,861,277"
,B1324D0,Saudi Basic Industries Corp.,2010,0.32%,Commodity Chemicals,SA,---,"$277,428,409.95","11,746,833"
,B1DYPZ5,China Merchants Bank Co. Ltd.,3968,0.31%,Diversified Banks,CN,---,"$274,158,304.67","57,773,295"
,BYVW0F7,Pinduoduo Inc.,PDD,0.31%,Internet & Direct Marketing Retail,CN,ADR,"$269,190,823.25","3,630,355"
,B1CN1G6,New Oriental Education & Technology Group Inc.,EDU,0.31%,Education Services,CN,ADR,"$267,914,166.00","1,792,068"
,BFZX9H8,NIO Inc.,NIO,0.31%,Automobile Manufacturers,CN,ADR,"$267,614,353.62","12,611,421"
,BG36ZK1,B3 SA - Brasil Bolsa Balcao,B3SA3,0.30%,Financial Exchanges & Data,BR,---,"$261,718,692.51","26,718,524"
,2667470,America Movil SAB de CV,AMXL,0.28%,Wireless Telecommunication Services,MX,---,"$246,458,327.56","392,619,835"
,6889526,National Bank of Kuwait SAKP,NBK,0.27%,Diversified Banks,KW,---,"$235,733,078.59","82,700,766"
,B01C1P6,Bank Central Asia Tbk PT,BBCA,0.26%,Diversified Banks,ID,---,"$228,461,278.67","125,156,450"
,6718976,China Life Insurance Co. Ltd.,2628,0.26%,Life & Health Insurance,CN,---,"$226,907,851.08","100,092,734"
,2682365,Petroleo Brasileiro SA,PETR3,0.25%,Integrated Oil & Gas,BR,---,"$216,884,827.85","61,608,675"
,B12M7Q5,Saudi Telecom Co.,7010,0.24%,Integrated Telecommunication Services,SA,---,"$207,234,933.71","7,728,273"
,B00G0S5,CNOOC Ltd.,883,0.23%,Oil & Gas Exploration & Production,CN,---,"$199,305,858.72","207,204,883"
,BK1K3N2,Trip.com Group Ltd.,TCOM,0.22%,Internet & Direct Marketing Retail,CN,ADR,"$191,222,083.08","6,140,722"
,BP3R2F1,Kweichow Moutai Co. Ltd.,600519,0.22%,Distillers & Vintners,CN,---,"$191,141,270.15","777,167"
,6260734,Delta Electronics Inc.,2308,0.21%,Electronic Components,TW,---,"$185,530,633.33","28,254,356"
,BD0BDJ3,PTT PCL,PTT-F,0.21%,Integrated Oil & Gas,TH,---,"$182,677,210.27","179,996,815"
,6624471,First Abu Dhabi Bank PJSC,FAB,0.20%,Diversified Banks,AE,---,"$175,289,896.99","56,806,298"
,BSHYYN1,National Commercial Bank,1180,0.20%,Diversified Banks,SA,---,"$174,102,388.64","17,526,718"
,BPFJHC7,Axis Bank Ltd.,AXISBANK,0.20%,Diversified Banks,IN,---,"$173,010,154.42","29,894,411"
,6348544,Formosa Plastics Corp.,1301,0.19%,Commodity Chemicals,TW,---,"$170,713,445.90","62,484,057"
,6536651,BYD Co. Ltd.,1211,0.19%,Automobile Manufacturers,CN,---,"$170,561,539.92","10,576,656"
,B037HR3,Itau Unibanco Holding SA,ITUB4,0.19%,Diversified Banks,BR,---,"$167,208,357.97","41,734,463"
,B1YVKN8,ANTA Sports Products Ltd.,2020,0.19%,Footwear,CN,---,"$164,079,393.51","15,721,805"
,B01B1L9,China Mengniu Dairy Co. Ltd.,2319,0.19%,Packaged Foods & Meats,CN,---,"$162,661,691.09","34,486,000"
,6294896,HCL Technologies Ltd.,HCLTECH,0.19%,IT Consulting & Other Services,IN,---,"$162,460,647.79","14,735,516"
,6193766,China Resources Land Ltd.,1109,0.18%,Real Estate Development,CN,---,"$159,434,228.26","34,957,325"
,BW1YVH8,Wal-Mart de Mexico SAB de CV,WALMEX*,0.18%,Hypermarkets & Super Centers,MX,---,"$158,322,363.38","65,989,537"
,B0MP1B0,Shenzhou International Group Holdings Ltd.,2313,0.18%,"Apparel, Accessories & Luxury Goods",CN,---,"$157,979,283.90","9,277,133"
,6451668,Largan Precision Co. Ltd.,3008,0.18%,Electronic Components,TW,---,"$156,935,682.38","1,340,076"
,BYYDFN0,ZTO Express Cayman Inc.,ZTO,0.18%,Air Freight & Logistics,CN,ADR,"$154,299,743.84","5,157,077"
,6621580,Nan Ya Plastics Corp.,1303,0.17%,Commodity Chemicals,TW,---,"$150,658,269.09","72,883,819"
,B012W42,Public Bank Bhd.,PBBANK,0.17%,Diversified Banks,MY,---,"$150,498,750.82","39,791,718"
,6633712,Maruti Suzuki India Ltd.,MARUTI,0.17%,Automobile Manufacturers,IN,---,"$150,323,170.92","1,639,718"
,6527666,CTBC Financial Holding Co. Ltd.,2891,0.17%,Diversified Banks,TW,---,"$149,191,986.49","233,513,062"
,B00FM53,Banco Bradesco SA,BBDC4,0.16%,Diversified Banks,BR,---,"$144,542,581.14","41,820,540"
,B60LZR6,Agricultural Bank of China Ltd.,1288,0.16%,Diversified Banks,CN,---,"$142,625,017.11","454,574,343"
,6565655,AngloGold Ashanti Ltd.,ANG,0.16%,Gold,ZA,---,"$141,895,060.16","5,424,189"
,6425663,Cathay Financial Holding Co. Ltd.,2882,0.16%,Life & Health Insurance,TW,---,"$141,655,159.16","105,812,826"
,6606996,FirstRand Ltd.,FSR,0.16%,Other Diversified Financial Services,ZA,---,"$141,624,542.63","57,714,665"
,6709099,Bank Rakyat Indonesia Persero Tbk PT,BBRI,0.16%,Diversified Banks,ID,---,"$140,760,260.59","686,118,858"
,6531827,Geely Automobile Holdings Ltd.,175,0.16%,Automobile Manufacturers,CN,---,"$139,082,970.37","69,332,743"
