Holdings details

Total World Stock ETF (VT)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2046251,Apple Inc.,AAPL,3.20%,"Technology Hardware, Storage & Periphera",US,---,"$653,892,444.12","5,646,252"
,2588173,Microsoft Corp.,MSFT,2.69%,Systems Software,US,---,"$550,911,059.10","2,619,270"
,2000019,Amazon.com Inc.,AMZN,2.28%,Internet & Direct Marketing Retail,US,---,"$467,107,798.04","148,348"
,B7TL820,Facebook Inc.,FB,1.08%,Interactive Media & Services,US,---,"$219,951,215.10","839,829"
,BP41ZD1,Alibaba Group Holding Ltd.,BABA,0.88%,Internet & Direct Marketing Retail,CN,ADR,"$180,416,995.90","613,705"
,BYVY8G0,Alphabet Inc.,GOOGL,0.75%,Interactive Media & Services,US,---,"$153,857,222.40","104,979"
,BYY88Y7,Alphabet Inc.,GOOG,0.74%,Interactive Media & Services,US,---,"$151,971,336.00","103,410"
,2475833,Johnson & Johnson,JNJ,0.67%,Pharmaceuticals,US,---,"$136,992,229.76","920,152"
,BMMV2K8,Tencent Holdings Ltd.,700,0.66%,Interactive Media & Services,CN,---,"$135,429,022.43","2,005,067"
,2704407,Procter & Gamble Co.,PG,0.58%,Household Products,US,---,"$118,530,394.02","852,798"
,B2PZN04,Visa Inc.,V,0.58%,Data Processing & Outsourced Services,US,---,"$117,816,124.93","589,169"
,7123870,Nestle SA,NESN,0.57%,Packaged Foods & Meats,CH,---,"$115,823,707.78","973,210"
,2379504,NVIDIA Corp.,NVDA,0.55%,Semiconductors,US,---,"$111,883,163.28","206,724"
,B616C79,Tesla Inc.,TSLA,0.54%,Automobile Manufacturers,US,---,"$110,924,825.60","258,560"
,2073390,Berkshire Hathaway Inc.,BRK.B,0.52%,Multi-Sector Holdings,US,---,"$107,306,002.44","503,926"
,B121557,Mastercard Inc.,MA,0.51%,Data Processing & Outsourced Services,US,---,"$104,103,943.65","307,845"
,2434209,Home Depot Inc.,HD,0.51%,Home Improvement Retail,US,---,"$104,097,649.53","374,843"
,2917766,UnitedHealth Group Inc.,UNH,0.50%,Managed Health Care,US,---,"$102,697,661.54","329,402"
,2190385,JPMorgan Chase & Co.,JPM,0.50%,Diversified Banks,US,---,"$101,753,154.12","1,056,956"
,2090571,Verizon Communications Inc.,VZ,0.42%,Integrated Telecommunication Services,US,---,"$86,014,389.87","1,445,863"
,7110388,Roche Holding AG,ROG,0.41%,Pharmaceuticals,CH,---,"$83,313,399.39","243,222"
,2008154,Adobe Inc.,ADBE,0.40%,Application Software,US,---,"$82,319,656.36","167,852"
,BYW36M8,PayPal Holdings Inc.,PYPL,0.40%,Data Processing & Outsourced Services,US,---,"$80,821,706.00","410,200"
,6889106,Taiwan Semiconductor Manufacturing Co. Ltd.,2330,0.39%,Semiconductors,TW,---,"$79,886,538.17","5,310,165"
,2270726,Walt Disney Co.,DIS,0.38%,Movies & Entertainment,US,---,"$78,250,307.52","630,644"
,2463247,Intel Corp.,INTC,0.37%,Semiconductors,US,---,"$76,585,105.44","1,479,048"
