iShares MSCI World ETF
Fund Holdings as of,"Nov 04, 2020"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"10,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","44,825,212.30","4.32","44,825,212.30","389,954.00","037833100","US0378331005","2046251","114.95","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","34,962,997.86","3.37","34,962,997.86","161,574.00","594918104","US5949181045","2588173","216.39","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","30,745,643.76","2.97","30,745,643.76","9,486.00","023135106","US0231351067","2000019","3,241.16","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","15,398,395.16","1.49","15,398,395.16","53,582.00","30303M102","US30303M1027","B7TL820","287.38","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","11,953,554.42","1.15","11,953,554.42","6,834.00","02079K107","US02079K1079","BYY88Y7","1,749.13","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","11,758,299.75","1.13","11,758,299.75","6,735.00","02079K305","US02079K3059","BYVY8G0","1,745.85","United States","NASDAQ","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","8,162,567.00","0.79","8,162,567.00","58,555.00","478160104","US4781601046","2475833","139.40","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NESN","NESTLE SA","Consumer Staples","Equity","7,987,946.09","0.77","7,987,946.09","67,164.00","S71238703","CH0038863350","7123870","118.93","Switzerland","Six Swiss Exchange Ag","USD","0.91","-","CHF"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","7,619,172.00","0.73","7,619,172.00","54,175.00","742718109","US7427181091","2704407","140.64","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","7,536,881.92","0.73","7,536,881.92","21,257.00","91324P102","US91324P1021","2917766","354.56","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
