age,male,female,age2,year
79세,6471,12315,79,1960
78세,7281,11200,78,1960
77세,9132,14453,77,1960
76세,10586,13331,76,1960
75세,11865,14565,75,1960
74세,14077,19490,74,1960
73세,15138,25357,73,1960
72세,14872,27427,72,1960
71세,16155,27133,71,1960
70세,20465,30280,70,1960
69세,25934,41202,69,1960
68세,23523,33785,68,1960
67세,23596,32733,67,1960
66세,33831,47726,66,1960
65세,34777,48568,65,1960
64세,36764,51566,64,1960
63세,42449,58487,63,1960
62세,45770,61307,62,1960
61세,45340,59922,61,1960
60세,60108,56752,60,1960
59세,58591,72415,59,1960
58세,57099,68803,58,1960
57세,51890,61285,57,1960
56세,54996,63178,56,1960
55세,66816,73901,55,1960
54세,72938,79774,54,1960
53세,72940,80709,53,1960
52세,80904,86829,52,1960
51세,90268,94477,51,1960
50세,91584,94833,50,1960
49세,93072,94163,49,1960
48세,96144,98190,48,1960
47세,96349,98276,47,1960
46세,94262,100484,46,1960
45세,105371,103619,45,1960
44세,112236,110382,44,1960
43세,112263,111839,43,1960
42세,109300,106790,42,1960
41세,112373,106764,41,1960
40세,124353,118734,40,1960
39세,133279,129087,39,1960
38세,137731,135916,38,1960
37세,138946,140034,37,1960
36세,132697,136515,36,1960
35세,140033,145887,35,1960
34세,133033,147705,34,1960
33세,145378,153379,33,1960
32세,144411,163243,32,1960
31세,155521,175508,31,1960
30세,160033,178117,30,1960
29세,164544,179970,29,1960
28세,178356,187961,28,1960
27세,192671,191208,27,1960
26세,206212,201735,26,1960
25세,218760,211663,25,1960
24세,226809,220152,24,1960
23세,231542,230426,23,1960
22세,240096,234120,22,1960
21세,237919,230292,21,1960
20세,234997,236352,20,1960
19세,249286,248646,19,1960
18세,252097,251823,18,1960
17세,245495,232566,17,1960
16세,255462,220386,16,1960
15세,246518,216165,15,1960
14세,245513,227883,14,1960
13세,272382,260256,13,1960
12세,285001,274731,12,1960
11세,278177,263477,11,1960
10세,277830,260988,10,1960
9세,293602,275914,9,1960
8세,322803,300532,8,1960
7세,332413,309752,7,1960
6세,368861,344314,6,1960
5세,415764,386578,5,1960
4세,428589,397865,4,1960
3세,445747,413309,3,1960
2세,478224,441793,2,1960
1세,508998,470269,1,1960
0세,521986,484032,0,1960
79세,6715,10659,79,1961
78세,7912,13319,78,1961
77세,9466,12736,77,1961
76세,10633,14205,76,1961
75세,12385,18455,75,1961
74세,13581,23003,74,1961
73세,13858,25695,73,1961
72세,14985,25665,72,1961
71세,18665,28654,71,1961
70세,23825,36507,70,1961
69세,22414,32987,69,1961
68세,21547,30421,68,1961
67세,31199,44677,67,1961
66세,32326,45751,66,1961
65세,34401,48841,65,1961
64세,39950,55660,64,1961
63세,43279,58597,63,1961
62세,43033,57504,62,1961
61세,57228,54664,61,1961
60세,55944,69983,60,1961
59세,54657,66695,59,1961
58세,49793,59574,58,1961
57세,52925,61569,57,1961
56세,64506,72179,56,1961
55세,70640,78066,55,1961
54세,70849,79122,54,1961
53세,78801,85262,53,1961
52세,88127,92910,52,1961
51세,89576,93382,51,1961
50세,91167,92833,50,1961
49세,94314,96907,49,1961
